Day,Date,A,B,C,D,Drinks
Monday,2018-08-06,Fried white bee hoon w sides,Loh Mai Gai,Waffles,Sandwich selection,Soya bean
Tuesday,2018-08-07,Turkey ham fried rice with sous vide egg,Pancakes with maple/chocolate,Chicken burger,Sandwich selection,Milo
Wednesday,2018-08-08,Yang chow fried rice w sides,Chicken mince porridge w sides,Waffles,Sandwich selection,Coffee
Thursday,2018-08-09,Kway teow mamak w sides,Tau Huey Set,Chwee kueh,Sandwich selection,Soya bean
Friday,2018-08-10,Crabstick fried rice w sides,Baked tuna puff,Waffles,Sandwich selection,Milo
Saturday,2018-08-11,Chicken Char Siew and Red Bean Pau,Anchovy fried rice w sides,,,Tea
Monday,2018-08-13,Dry Mee Siam with sides,Soft boiled eggs set,Waffles,Sandwich selection,Soya bean
Tuesday,2018-08-14,Olive fried rice w sides,Mash potato with chicken sausage ,Waffles,Sandwich selection,Milo
Wednesday,2018-08-15,Oriental fried rice with sous vide egg,Pancakes with maple/chocolate,Fish burger,Sandwich selection,Coffee
Thursday,2018-08-16,Fried lo she fun w sides,Tau Huey Set,Baked teriyaki chicken puff,Sandwich selection,Soya bean
Friday,2018-08-17,Chicken ham fried rice,Oyster chicken and lotus paste pau,Waffles,Sandwich selection,Milo
Saturday,2018-08-18,Fried laksa noodles w sides,Chee Cheong Fun,,,Tea
Monday,2018-08-20,Fried brown bee hoon with sides,Soft boiled eggs set,Waffles,Sandwich selection,Soya bean
Tuesday,2018-08-21,Pancakes with maple/chocolate,Chicken mince porridge w sides,Waffles,Sandwich selection,Milo
Wednesday,2018-08-22,Chicken sausage with sous vide egg,Roti prata with curry,Fish burger,Sandwich selection,Coffee
Thursday,2018-08-23,Penang kway teow with sides,Tau Huey Set,Chwee kueh,Sandwich selection,Soya bean
Friday,2018-08-24,Crabstick fried rice w sides,Baked chicken pie,Waffles,Sandwich selection,Milo
Saturday,2018-08-25,Loh Mai Gai,Mash potato with chicken sausage,,,Tea
Monday,2018-08-27,Stir fried maggie mee,Soft boiled eggs set,Waffles,Sandwich selection,Soya bean
Tuesday,2018-08-28,Thai pineapple rice w sides,Chicken mince porridge w sides,Waffles,Sandwich selection,Milo
Wednesday,2018-08-29,Olive fried rice with sous vide egg,Pancakes with maple/chocolate,Chicken burger,Sandwich selection,Coffee
Thursday,2018-08-30,Malay fried mee with sides,Tau Huey Set,Chee Cheong Fun,Sandwich selection,Soya bean
Friday,2018-08-31,Oriental fried rice w sides,Chicken Char Siew and Red Bean Pau,Waffles,Sandwich selection,Milo
Saturday,2018-09-01,Pancakes with maple/chocolate,Baked chicken sausage puff,,,Tea
Monday,2018-09-03,Loh Mai Gai,Roti prata w curry,Waffles,Sandwich selection,Soya bean
Tuesday,2018-09-04,Chicken Sausage fried rice with sous vide egg,Pancakes with maple/chocolate,Oyster chicken and lotus paste pau,Sandwich selection,Milo
Wednesday,2018-09-05,Butter raisin rice w sides,Chicken mince porridge w sides,Waffles,Sandwich selection,Coffee
Thursday,2018-09-06,Fried kway teow w sides,Tau Huey Set,Chee Cheong Fun,Sandwich selection,Soya bean
Friday,2018-09-07,Fried noodles w sides,Soft boiled eggs set,Waffles,Sandwich selection,Milo
Saturday,2018-09-08,Anchovy fried rice w sides,Chwee kueh,,,Tea
Monday,2018-09-10,Fried white bee hoon w sides,Loh Mai Gai,Waffles,Sandwich selection,Soya bean
Tuesday,2018-09-11,Turkey ham fried rice with sous vide egg,Pancakes with maple/chocolate,Chicken burger,Sandwich selection,Milo
Wednesday,2018-09-12,Yang chow fried rice w sides,Chicken mince porridge w sides,Waffles,Sandwich selection,Coffee
Thursday,2018-09-13,Kway teow mamak w sides,Tau Huey Set,Chwee kueh,Sandwich selection,Soya bean
Friday,2018-09-14,Crabstick fried rice w sides,Baked tuna puff,Waffles,Sandwich selection,Milo
Saturday,2018-09-15,Chicken Char Siew and Red Bean Pau,Anchovy fried rice w sides,,,Tea
Monday,2018-09-17,Dry Mee Siam with sides,Soft boiled eggs set,Waffles,Sandwich selection,Soya bean
Tuesday,2018-09-18,Olive fried rice w sides,Mash potato with chicken sausage ,Waffles,Sandwich selection,Milo
Wednesday,2018-09-19,Oriental fried rice with sous vide egg,Pancakes with maple/chocolate,Fish burger,Sandwich selection,Coffee
Thursday,2018-09-20,Fried lo she fun w sides,Tau Huey Set,Baked teriyaki chicken puff,Sandwich selection,Soya bean
Friday,2018-09-21,Chicken ham fried rice,Oyster chicken and lotus paste pau,Waffles,Sandwich selection,Milo
