Day,Date,,,,,,,,,,,,,,
Sunday,2018-08-05,Glass noodles w beancurd stick,Honey baked chicken wing,Lemon Butter Fish,Braised Chicken w Sze Chuan Vege,Cheese taufu,Fish nuggets,Stir fried potato with spring onion,Broccoli with mushroom,Teow chow pek with oyster sauce,Sambal goreng,Milo Jelly,,,
Monday,2018-08-06,Fish ball tang hoon soup,Deep fried chicken wings,Black bean steam chicken,Fish Fillet with oyster sauce,Teriyaki sotong ball,Deep fried wantan,Black pepper chicken sausage,Nyonya chap chai,Cauliflower w crab stick sauce,Stir fried long bean,Red apple,,,
Tuesday,2018-08-07,Steam JPN rice,Teppanyaki Beef,Seaweed chicken,Mix vege JPN style,"Mee siam wTaupok, & Gravy",De-shell prawn ,Fish cake,Hard boil egg,Nasi Briyani,Mutton curry with potato,Hard boil egg,Deep fried cauliflower,Papadum,Mango Pudding
Wednesday,2018-08-08,Spaghetti Neapolitan,Buttered rice with raisin,Baked fish fillet w brown tomato sauce,"Baked b,less chicken leg w cajun sauce",Sauteed potato,Baked cauliflower with cheese,Salted mix mushroom with onion,Chicken nuggets,Watermelon,,,,,
Thursday,2018-08-09,ABC soup,Kam Hiang Chicken,Deep fried pollock fish,Steam chicken mince with pumpkin,Honey fishball,Steam egg,Breaded spinach ball,Twin fungus with vegetable,Vegetable curry,Long cabbage with mushroom,Bobo cha cha,,,
Friday,2018-08-10,Sweet radish egg soup,Pineapple  with Hot & Spicy Chicken,Sambal Shrimp Meat,Cajun baked fish with BBQ sauce,Ma po beancurd,Stir fried potato,BBQ cocktail sausage,Stir fried cabbage,Teow choe pak oyster sauce,Chye sim with garlic,Banana,,,
Sunday,2018-08-12,Fish maw soup,Roast boneless chic w brown sauce,BBQ chicken drumlet,Taucu fish fillet,Black pepper taupok,Sweet and sour potato,Fish nuggets,Siew pack choy w oyster sauce,French bean dry shrimp,Stir fried beansprout,Almond jelly,,,
Monday,2018-08-13,Seaweed taufu fish ball soup,Black bean chicken,Portuguese baked fish fillet,Hot & spicy beef fillet,Deep Fried Wantan,Stir fried potato with green peas,Breaded fish finger,Spinach chef stock,French bean garlic,Winter melon with dry shrimp,Barley with beancurd stick,,,
Tuesday,2018-08-14,Steam JPN rice,Chicken yakitori,Deep fried seaweed cheese roll,Hibachi vegetable,"Laksa noodle wTaupok, & Gravy",De-shell prawn ,Fish ball,Hard boil egg,Briyani rice,Tandori chicken drumstick,Curry egg,Alchar vegetable,Papadum,Banana
Wednesday,2018-08-15,BBQ chicken chop,Breaded fish cutlet,Mash potato,Breaded spinach ball with cheese,BBQ baked beans,Onion rings,Coleslaw,Red apple,,,,,,
